ID|Filename|Format|Source Path
113|DJI_0196.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0196.MOV
114|DJI_0199.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0199.MOV
115|DJI_0200.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0200.MOV
116|DJI_0205.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0205.MOV
117|DJI_0218.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0218.MOV
118|DJI_0219.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0219.MOV
119|DJI_0220.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0220.MOV
120|DJI_0222.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0222.MOV
121|DJI_0223.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0223.MOV
122|DJI_0227.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0227.MOV
123|DJI_0231.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0231.MOV
124|DJI_0233.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0233.MOV
125|DJI_0248.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/Broll Using/DJI_0248.MOV
126|DJI_0213.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Holly & Houston/Holly & Houston Using/DJI_0213.MOV
127|DJI_0214.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Holly & Houston/Holly & Houston Using/DJI_0214.MOV
